product_id,count
14,37233
58,22980
42,19967
229,12354
250,9594
355,8076
19,7404
147,7197
10,6912
506,6826
112,6572
166,6337
261,6286
352,5667
67,5345
227,5323
302,4861
8,4844
123,4615
72,4599
102,4470
287,4313
105,4238
172,4124
691,4085
437,4036
596,3890
214,3664
290,3639
647,3632
40,3600
64,3575
127,3413
226,3240
917,3168
134,3014
282,3010
858,2962
1345,2914
288,2908
259,2881
234,2786
295,2768
479,2682
362,2668
45,2626
170,2560
99,2482
550,2473
387,2445
424,2408
471,2380
466,2352
289,2337
1147,2329
684,2323
217,2309
162,2305
527,2256
97,2251
1062,2246
71,2200
24,2185
1544,2150
918,2096
107,2005
46,1981
500,1929
1082,1908
468,1893
392,1870
247,1848
1802,1805
239,1798
665,1778
285,1768
348,1763
504,1757
2256,1740
163,1729
980,1728
851,1724
1047,1714
1033,1706
592,1682
1080,1661
478,1652
0,1645
49,1632
277,1630
9,1618
334,1609
2340,1593
361,1592
1152,1591
626,1584
674,1575
922,1574
187,1566
1099,1564
335,1536
34,1532
393,1518
861,1512
1022,1496
1650,1481
482,1474
2078,1463
436,1450
566,1438
816,1423
119,1416
494,1404
55,1401
919,1396
330,1395
507,1394
1628,1386
605,1385
933,1376
945,1376
615,1374
274,1373
1462,1371
677,1356
291,1354
230,1338
1100,1327
257,1326
817,1316
385,1316
1351,1316
300,1304
852,1303
836,1303
52,1301
721,1299
629,1297
89,1287
1412,1284
1303,1276
1410,1271
422,1271
63,1270
275,1270
327,1264
636,1254
201,1250
981,1248
1495,1241
3,1238
794,1237
260,1235
81,1234
77,1231
286,1218
262,1217
106,1216
417,1215
778,1215
1438,1214
714,1212
1146,1209
1419,1202
1943,1196
244,1192
2462,1190
796,1185
2258,1180
1155,1179
953,1179
1039,1179
1052,1172
675,1168
157,1161
1552,1161
389,1160
896,1155
30,1151
372,1144
236,1143
1092,1138
255,1132
735,1130
1067,1125
770,1117
457,1116
1168,1109
790,1103
280,1101
115,1101
620,1096
70,1095
1828,1089
132,1087
129,1085
773,1085
879,1080
921,1071
2073,1069
41,1063
298,1049
975,1043
926,1038
670,1035
591,1032
1044,1032
2045,1030
603,1027
785,1027
1034,1023
265,1022
590,1016
381,1015
672,1014
137,1006
597,1006
456,1004
1276,998
366,997
3082,990
1682,989
948,984
1428,981
38,974
353,972
1944,971
241,968
1185,967
484,964
829,964
869,962
144,960
1211,955
1649,955
1065,951
957,946
47,944
1895,944
176,943
307,943
716,941
1736,938
1314,938
316,938
1010,937
576,936
481,928
428,928
662,927
101,923
22,920
405,915
303,907
923,905
309,901
324,900
193,891
1703,890
505,884
842,881
814,881
118,881
1019,880
1723,873
489,870
1090,870
148,870
870,867
368,865
2128,862
617,862
1386,861
1406,857
1229,857
1608,847
1705,846
1360,846
742,841
155,840
1142,837
1244,837
1644,837
1246,836
486,836
963,835
2068,833
2242,831
728,830
1344,828
2379,827
1635,827
2426,827
565,822
1687,822
2644,820
124,819
4,818
2152,816
1106,814
1668,813
1365,811
2014,811
645,809
1110,807
139,807
1612,806
653,805
1483,802
1473,800
1068,799
1748,799
912,796
85,795
1001,795
1876,793
2666,792
2023,789
223,789
635,787
2312,784
1327,784
1551,784
973,784
810,780
1222,779
23,777
384,775
496,775
1451,773
1486,773
220,772
1598,769
125,767
173,767
84,765
1373,765
732,764
90,763
2054,756
600,748
1430,748
1372,747
1615,743
843,742
895,740
610,737
198,737
609,735
69,734
460,734
419,732
563,730
1226,730
1549,730
199,730
834,729
31,729
406,725
551,722
1254,722
539,714
326,713
1534,710
800,709
702,709
1053,709
2153,708
91,707
104,707
323,706
461,706
639,704
1724,704
986,701
634,696
1274,693
578,692
1503,692
1328,692
377,691
390,687
269,686
1461,686
1184,685
835,685
2851,684
76,684
2194,683
2341,681
145,681
35,678
297,677
432,677
433,676
719,676
452,674
1803,673
723,673
630,670
2155,669
1380,668
680,668
878,668
1676,668
739,665
1167,665
364,665
667,664
252,664
529,663
960,661
1227,660
26,659
221,657
1016,655
651,650
1632,650
2349,650
530,650
1987,648
473,645
454,643
2797,642
746,642
313,642
1807,642
238,641
760,641
2651,640
1887,640
1086,639
955,639
492,638
1209,634
1084,634
2300,630
175,628
1192,627
540,627
483,626
146,626
1059,624
938,623
1325,623
169,622
1054,622
1709,620
190,620
305,620
488,619
927,619
276,618
270,618
1717,617
850,617
1037,616
1193,614
1535,614
1507,613
150,610
1002,610
2625,610
1990,609
312,608
2113,607
526,606
62,606
914,606
2069,605
1436,604
555,603
153,603
997,602
604,602
16,600
1072,599
151,599
783,598
1906,597
1798,597
1027,597
1517,596
219,596
1787,595
1955,595
383,595
883,594
811,594
1843,593
374,593
782,593
205,593
344,592
197,592
548,592
228,592
968,592
1896,591
886,591
1265,590
940,590
1400,590
343,587
233,587
769,585
2526,585
7,584
821,583
901,583
1532,582
438,582
655,581
1558,580
2082,580
21,579
1631,578
1821,578
511,577
2416,577
768,574
2192,573
365,573
59,573
762,572
61,572
1805,572
1591,572
1797,571
969,571
1553,570
2067,569
66,568
1153,568
152,565
2724,564
27,564
2287,563
1143,562
1559,561
1413,560
2297,558
391,557
2181,557
2500,557
1362,556
638,555
450,555
2720,554
649,553
15,552
216,551
1678,551
2789,550
423,549
748,549
902,547
745,546
1698,544
1484,542
398,542
553,538
2518,537
2495,537
775,536
1979,535
237,534
2061,534
317,533
1375,533
1836,533
1679,532
1366,531
477,531
699,531
1695,531
1394,530
1358,530
587,530
177,530
2264,530
849,529
1166,527
51,527
215,525
1253,524
614,522
549,522
787,522
718,522
1540,521
1136,521
2756,521
1205,521
848,520
1940,520
1965,520
2850,519
1526,516
1176,516
737,514
1776,514
1671,513
750,513
1654,513
1839,513
308,512
2005,511
1789,511
17,511
182,511
1005,510
2993,510
1546,510
1732,509
2513,509
1359,509
935,508
2439,508
2829,508
2690,508
1734,507
523,505
1048,504
2613,504
133,503
689,503
1308,503
1190,502
681,501
1363,501
2858,501
1812,500
1042,500
2096,500
2134,499
2031,499
1571,498
705,497
350,497
1339,496
989,496
2472,496
1376,495
1827,493
874,492
648,492
20,492
1000,492
1119,491
1135,491
202,491
536,490
279,490
1098,489
1445,489
2076,489
183,489
416,488
2583,488
906,487
1085,485
346,485
2965,485
533,484
832,483
1752,482
319,481
2732,481
2154,481
2668,480
186,480
1390,479
791,479
2499,478
2261,477
781,477
1317,476
1077,476
1466,475
2165,475
508,473
512,472
2438,472
1113,472
174,472
1452,470
338,469
554,469
618,468
2730,467
646,467
1385,467
1215,466
143,466
582,466
1464,466
2282,465
415,465
1930,465
722,465
1064,465
273,464
2864,464
2160,463
621,463
2336,462
1202,459
1518,459
3267,459
2779,459
602,457
1454,457
671,455
3081,455
2508,454
1070,454
1513,453
2680,453
1297,453
154,452
2108,451
663,451
2396,451
1837,451
1096,451
792,450
113,450
1159,450
272,450
1088,449
495,447
474,447
1140,446
2415,446
727,445
1403,445
1838,444
2441,444
2411,444
822,443
1565,441
207,440
1300,439
516,439
1127,438
2140,437
1637,437
2916,437
1015,435
3058,435
1248,435
767,435
1174,434
890,433
401,433
411,432
341,432
168,432
158,432
1397,431
1620,431
1346,431
913,430
907,430
1107,430
1448,429
2080,429
2474,428
2225,427
531,427
899,427
251,427
1250,426
1023,426
826,426
583,425
86,425
249,424
225,424
2304,424
701,424
2818,424
2369,424
1356,424
73,422
710,422
2051,421
3001,421
1500,420
2094,419
1603,419
1835,418
74,418
469,417
421,416
2012,416
2090,416
3040,416
1485,415
258,415
1541,415
116,415
2746,415
1977,414
80,414
658,414
395,413
2344,413
1108,413
862,413
1672,413
1997,412
979,412
1684,412
2202,412
278,412
974,411
1151,410
2003,410
3429,410
1496,409
195,408
1720,408
1488,408
2207,408
2159,408
1569,408
970,407
859,407
673,407
1393,407
1809,406
562,406
937,406
2147,405
1508,405
2086,404
1063,404
1440,404
900,403
682,402
320,402
966,402
2105,401
801,401
200,401
1662,401
1347,401
967,401
1719,399
753,399
180,398
1862,398
2737,398
538,397
964,396
2294,396
376,396
2335,395
889,393
1775,393
1542,393
103,393
1178,393
2757,393
357,392
1251,392
2046,392
2188,391
2867,391
1946,391
2357,391
1312,391
2504,391
909,390
498,389
1768,388
485,388
3025,388
577,388
715,387
1870,387
462,386
1492,385
1872,385
1961,385
2594,384
1272,383
1275,383
2877,383
2767,383
2149,383
1877,383
65,382
246,382
535,382
558,382
439,382
171,382
1326,382
292,382
1869,381
2747,381
949,380
1480,380
3109,379
1330,379
1424,379
738,378
1432,378
1114,378
1223,378
1702,378
1722,377
3156,377
1105,377
2440,376
3641,376
1437,375
976,375
2686,375
1173,375
3133,374
342,374
142,374
2456,374
972,373
1208,373
1134,373
2561,372
28,372
2547,372
2409,372
544,372
1074,372
1994,371
3245,371
916,370
2811,370
2889,370
2180,370
510,369
537,369
1741,369
1089,369
2674,369
2262,368
2293,368
2596,367
243,367
2228,367
3218,366
491,366
1966,366
1927,366
1878,366
2143,365
2775,365
53,365
1924,365
369,365
1334,364
3549,364
2955,364
1497,364
1024,364
1156,364
2270,363
543,363
2968,363
2755,363
2606,363
44,363
1004,362
573,362
3257,362
595,361
1554,361
2318,361
1657,361
2276,360
121,360
3092,360
1240,360
818,360
1071,360
1337,357
2731,357
815,357
2476,357
359,356
2659,356
2908,355
1040,355
876,355
1771,355
2923,355
1139,355
418,354
1141,354
1949,354
253,354
83,354
575,353
1055,353
2560,353
1747,353
1196,353
1286,353
1183,353
703,353
1889,352
340,352
1252,352
149,351
887,351
1057,350
999,350
1529,349
2798,349
2412,349
2820,349
1616,349
2079,349
1640,348
2026,348
1046,347
1435,347
2776,347
455,346
2102,346
2614,346
1995,346
1292,346
1391,345
2325,345
2897,345
1305,345
2183,345
2279,344
1916,344
3000,343
2670,343
2326,342
3620,342
1050,341
2814,341
934,341
606,341
1934,341
1844,341
1547,340
2420,339
2236,339
2994,339
867,339
1511,338
396,338
868,338
2343,338
864,338
2739,338
2103,338
1908,337
1561,337
777,337
68,337
2431,337
652,336
1262,336
698,336
1493,336
1731,335
1520,335
3752,335
812,334
445,334
2231,334
2119,334
271,333
712,333
3010,333
325,333
2519,333
2100,333
2281,333
2265,333
581,333
2990,332
420,332
2436,331
910,331
683,331
2007,331
1177,331
2888,331
1409,331
1555,330
412,330
1468,330
1714,330
386,330
1353,330
3418,329
2372,329
788,329
2944,329
242,329
3087,329
2854,328
1049,328
2233,328
13,328
2703,327
78,326
2848,326
2562,326
1163,325
985,325
375,325
1332,324
1191,324
2989,323
2358,323
1295,323
1770,323
2878,322
1685,322
2164,322
1355,322
266,322
1861,321
444,321
1652,321
557,321
1663,321
1589,321
294,320
2060,319
731,319
140,319
2544,318
2139,318
1256,318
2669,318
1951,318
2089,318
1810,317
660,317
542,317
2809,317
409,317
449,317
2171,317
708,316
627,316
2066,315
580,315
1599,315
1434,315
1180,315
1874,315
499,315
1338,314
25,314
805,314
1755,313
2393,313
1881,313
1730,313
2240,313
1203,312
946,312
1909,312
1794,311
808,311
109,311
1737,311
1699,310
1619,310
2418,310
2146,310
707,310
3191,310
2310,310
1510,309
2835,309
2701,309
1066,308
545,308
400,307
3199,307
1778,306
293,306
774,306
744,305
1952,305
1935,304
936,304
1617,304
743,304
1715,304
2298,303
1613,303
764,303
2503,303
185,303
929,303
88,302
1833,302
892,302
2259,302
192,302
1718,301
833,301
3035,301
2166,301
2135,301
2092,300
2028,300
854,299
3586,299
1913,299
2685,299
1121,299
841,298
2419,298
1556,298
1491,297
1501,297
1597,297
2389,297
830,297
601,297
206,297
2394,297
463,297
1396,297
1826,296
893,296
2371,296
2170,296
2342,295
806,295
1762,295
210,295
2041,295
2873,294
571,294
637,294
857,294
1316,294
1744,294
1368,294
1873,294
2452,293
2631,293
569,293
2939,293
1370,293
117,293
2745,293
2536,293
831,292
160,292
1957,292
996,292
2187,292
2986,291
541,291
1998,291
378,291
2253,290
404,290
2812,290
2009,290
1582,290
2604,290
3336,289
37,289
1745,289
2354,288
402,288
2769,288
2093,287
2021,287
1415,287
1988,287
2011,287
1379,286
1982,286
574,285
1060,285
1788,285
2291,285
1902,284
3368,284
547,284
520,284
2497,284
2115,284
2572,284
164,284
1181,283
631,283
803,283
853,283
2196,282
2199,282
1041,282
1416,282
1243,282
2449,282
1904,282
888,281
3430,281
2071,281
1806,280
2070,280
1751,280
2307,279
1091,279
1824,279
3593,279
521,279
453,279
704,279
399,278
990,278
1919,278
2232,278
3049,278
2163,278
2487,278
1112,278
1154,277
1129,277
1996,277
824,277
2912,277
856,276
1369,276
2778,276
204,276
1201,276
2861,276
1043,276
1898,275
3355,275
1574,275
318,275
3162,274
2697,274
1562,274
2904,274
987,274
1076,273
780,273
1194,273
3651,273
2008,273
993,273
1921,272
2555,272
2610,272
669,272
1186,271
2620,271
1863,271
2331,271
2413,271
480,271
3180,270
2280,270
339,270
79,270
87,270
522,269
1592,269
2909,269
525,269
1840,269
1182,269
994,269
472,268
1894,268
2123,268
3520,268
